"","date","hour","day","month","count","year"
"1",2012-12-01,"0","Saturday","Dec",1,"2012"
"2",2012-12-01,"1","Saturday","Dec",2,"2012"
"3",2012-12-01,"2","Saturday","Dec",0,"2012"
"4",2012-12-01,"3","Saturday","Dec",0,"2012"
"5",2012-12-01,"4","Saturday","Dec",3,"2012"
"6",2012-12-01,"5","Saturday","Dec",0,"2012"
"7",2012-12-01,"6","Saturday","Dec",2,"2012"
"8",2012-12-01,"7","Saturday","Dec",2,"2012"
"9",2012-12-01,"8","Saturday","Dec",3,"2012"
"10",2012-12-01,"9","Saturday","Dec",7,"2012"
"11",2012-12-01,"10","Saturday","Dec",13,"2012"
"12",2012-12-01,"11","Saturday","Dec",7,"2012"
"13",2012-12-01,"12","Saturday","Dec",4,"2012"
"14",2012-12-01,"13","Saturday","Dec",9,"2012"
"15",2012-12-01,"14","Saturday","Dec",4,"2012"
"16",2012-12-01,"15","Saturday","Dec",11,"2012"
"17",2012-12-01,"16","Saturday","Dec",9,"2012"
"18",2012-12-01,"17","Saturday","Dec",2,"2012"
"19",2012-12-01,"18","Saturday","Dec",3,"2012"
"20",2012-12-01,"19","Saturday","Dec",6,"2012"
"21",2012-12-01,"20","Saturday","Dec",3,"2012"
"22",2012-12-01,"21","Saturday","Dec",9,"2012"
"23",2012-12-01,"22","Saturday","Dec",3,"2012"
"24",2012-12-01,"23","Saturday","Dec",6,"2012"
"25",2012-12-02,"0","Sunday","Dec",2,"2012"
"26",2012-12-02,"1","Sunday","Dec",2,"2012"
"27",2012-12-02,"2","Sunday","Dec",3,"2012"
"28",2012-12-02,"3","Sunday","Dec",2,"2012"
"29",2012-12-02,"4","Sunday","Dec",3,"2012"
"30",2012-12-02,"5","Sunday","Dec",1,"2012"
"31",2012-12-02,"6","Sunday","Dec",0,"2012"
"32",2012-12-02,"7","Sunday","Dec",2,"2012"
"33",2012-12-02,"8","Sunday","Dec",6,"2012"
"34",2012-12-02,"9","Sunday","Dec",8,"2012"
"35",2012-12-02,"10","Sunday","Dec",7,"2012"
"36",2012-12-02,"11","Sunday","Dec",8,"2012"
"37",2012-12-02,"12","Sunday","Dec",4,"2012"
"38",2012-12-02,"13","Sunday","Dec",5,"2012"
"39",2012-12-02,"14","Sunday","Dec",11,"2012"
"40",2012-12-02,"15","Sunday","Dec",3,"2012"
"41",2012-12-02,"16","Sunday","Dec",11,"2012"
"42",2012-12-02,"17","Sunday","Dec",8,"2012"
"43",2012-12-02,"18","Sunday","Dec",2,"2012"
