X,date,hour,hour_bin,day,month,count,year
1,1/12/2012,0,1,Saturday,Dec,1,2012
2,1/12/2012,1,1,Saturday,Dec,2,2012
3,1/12/2012,2,1,Saturday,Dec,0,2012
4,1/12/2012,3,2,Saturday,Dec,0,2012
5,1/12/2012,4,2,Saturday,Dec,3,2012
6,1/12/2012,5,2,Saturday,Dec,0,2012
7,1/12/2012,6,3,Saturday,Dec,2,2012
8,1/12/2012,7,3,Saturday,Dec,2,2012
9,1/12/2012,8,3,Saturday,Dec,3,2012
10,1/12/2012,9,4,Saturday,Dec,7,2012
11,1/12/2012,10,4,Saturday,Dec,13,2012
12,1/12/2012,11,4,Saturday,Dec,7,2012
13,1/12/2012,12,5,Saturday,Dec,4,2012
14,1/12/2012,13,5,Saturday,Dec,9,2012
15,1/12/2012,14,5,Saturday,Dec,4,2012
16,1/12/2012,15,6,Saturday,Dec,11,2012
17,1/12/2012,16,6,Saturday,Dec,9,2012
18,1/12/2012,17,6,Saturday,Dec,2,2012
19,1/12/2012,18,7,Saturday,Dec,3,2012
20,1/12/2012,19,7,Saturday,Dec,6,2012
21,1/12/2012,20,7,Saturday,Dec,3,2012
22,1/12/2012,21,8,Saturday,Dec,9,2012
23,1/12/2012,22,8,Saturday,Dec,3,2012
24,1/12/2012,23,8,Saturday,Dec,6,2012
25,2/12/2012,0,1,Sunday,Dec,2,2012
26,2/12/2012,1,1,Sunday,Dec,2,2012
27,2/12/2012,2,1,Sunday,Dec,3,2012
28,2/12/2012,3,2,Sunday,Dec,2,2012
29,2/12/2012,4,2,Sunday,Dec,3,2012
30,2/12/2012,5,2,Sunday,Dec,1,2012
31,2/12/2012,6,3,Sunday,Dec,0,2012
32,2/12/2012,7,3,Sunday,Dec,2,2012
33,2/12/2012,8,3,Sunday,Dec,6,2012
34,2/12/2012,9,4,Sunday,Dec,8,2012
35,2/12/2012,10,4,Sunday,Dec,7,2012
36,2/12/2012,11,4,Sunday,Dec,8,2012
37,2/12/2012,12,5,Sunday,Dec,4,2012
38,2/12/2012,13,5,Sunday,Dec,5,2012
39,2/12/2012,14,5,Sunday,Dec,11,2012
40,2/12/2012,15,6,Sunday,Dec,3,2012
41,2/12/2012,16,6,Sunday,Dec,11,2012
42,2/12/2012,17,6,Sunday,Dec,8,2012
43,2/12/2012,18,7,Sunday,Dec,2,2012
44,2/12/2012,19,7,Sunday,Dec,5,2012
45,2/12/2012,20,7,Sunday,Dec,7,2012
46,2/12/2012,21,8,Sunday,Dec,8,2012
47,2/12/2012,22,8,Sunday,Dec,4,2012
48,2/12/2012,23,8,Sunday,Dec,2,2012
49,3/12/2012,0,1,Monday,Dec,1,2012
50,3/12/2012,1,1,Monday,Dec,2,2012
51,3/12/2012,2,1,Monday,Dec,3,2012
52,3/12/2012,3,2,Monday,Dec,2,2012
53,3/12/2012,4,2,Monday,Dec,0,2012
54,3/12/2012,5,2,Monday,Dec,0,2012
55,3/12/2012,6,3,Monday,Dec,1,2012
56,3/12/2012,7,3,Monday,Dec,4,2012
57,3/12/2012,8,3,Monday,Dec,3,2012
58,3/12/2012,9,4,Monday,Dec,8,2012
59,3/12/2012,10,4,Monday,Dec,10,2012
60,3/12/2012,11,4,Monday,Dec,10,2012
61,3/12/2012,12,5,Monday,Dec,6,2012
62,3/12/2012,13,5,Monday,Dec,9,2012
63,3/12/2012,14,5,Monday,Dec,4,2012
64,3/12/2012,15,6,Monday,Dec,6,2012
65,3/12/2012,16,6,Monday,Dec,6,2012
66,3/12/2012,17,6,Monday,Dec,10,2012
67,3/12/2012,18,7,Monday,Dec,1,2012
68,3/12/2012,19,7,Monday,Dec,6,2012
69,3/12/2012,20,7,Monday,Dec,4,2012
70,3/12/2012,21,8,Monday,Dec,7,2012
71,3/12/2012,22,8,Monday,Dec,8,2012
72,3/12/2012,23,8,Monday,Dec,4,2012
73,4/12/2012,0,1,Tuesday,Dec,4,2012
74,4/12/2012,1,1,Tuesday,Dec,2,2012
75,4/12/2012,2,1,Tuesday,Dec,2,2012
76,4/12/2012,3,2,Tuesday,Dec,2,2012
77,4/12/2012,4,2,Tuesday,Dec,4,2012
78,4/12/2012,5,2,Tuesday,Dec,1,2012
79,4/12/2012,6,3,Tuesday,Dec,3,2012
80,4/12/2012,7,3,Tuesday,Dec,3,2012
81,4/12/2012,8,3,Tuesday,Dec,1,2012
82,4/12/2012,9,4,Tuesday,Dec,5,2012
83,4/12/2012,10,4,Tuesday,Dec,5,2012
84,4/12/2012,11,4,Tuesday,Dec,5,2012
85,4/12/2012,12,5,Tuesday,Dec,11,2012
86,4/12/2012,13,5,Tuesday,Dec,6,2012
87,4/12/2012,14,5,Tuesday,Dec,9,2012
88,4/12/2012,15,6,Tuesday,Dec,4,2012
89,4/12/2012,16,6,Tuesday,Dec,6,2012
90,4/12/2012,17,6,Tuesday,Dec,15,2012
