"MB2006","UR2006_num","UR2006","DHB_code","DHB_label","Pop2001","Pop2006","Pop2013"
100,-3,"Rural",1,"Northland",9,3,3
200,-3,"Rural",1,"Northland",90,87,84
300,-3,"Rural",1,"Northland",90,72,57
400,-3,"Rural",1,"Northland",30,21,30
501,NA,NA,1,"Northland",0,0,0
502,-3,"Rural",1,"Northland",33,27,36
600,-3,"Rural",1,"Northland",48,45,39
700,-2,"Rural",1,"Northland",57,66,63
800,-2,"Rural",1,"Northland",162,150,105
900,-2,"Rural",1,"Northland",24,27,24
1000,-2,"Rural",1,"Northland",102,63,81
1100,-2,"Rural",1,"Northland",93,72,96
1201,-2,"Rural",1,"Northland",54,72,93
1202,NA,NA,1,"Northland",0,3,0
1203,-2,"Rural",1,"Northland",105,108,102
1204,-2,"Rural",1,"Northland",171,156,162
1301,-2,"Rural",1,"Northland",153,132,135
1302,-2,"Rural",1,"Northland",234,231,258
1400,-2,"Rural",1,"Northland",45,51,63
1500,-2,"Rural",1,"Northland",21,21,21
1600,-3,"Rural",1,"Northland",0,0,0
1700,-3,"Rural",1,"Northland",6,3,0
1800,-2,"Rural",1,"Northland",75,84,87
1900,-3,"Rural",1,"Northland",60,48,57
2000,-3,"Rural",1,"Northland",57,57,51
2100,NA,NA,1,"Northland",0,0,0
2200,-2,"Rural",1,"Northland",207,249,228
2300,-2,"Rural",1,"Northland",210,246,270
2400,-2,"Rural",1,"Northland",147,84,81
2500,-3,"Rural",1,"Northland",3,3,0
2603,-2,"Rural",1,"Northland",45,33,33
2604,-2,"Rural",1,"Northland",99,81,120
2605,-2,"Rural",1,"Northland",66,75,72
2606,-2,"Rural",1,"Northland",123,126,141
2607,-2,"Rural",1,"Northland",75,51,63
2608,-2,"Rural",1,"Northland",27,33,42
2609,-1,"Rural",1,"Northland",69,63,93
2610,-2,"Rural",1,"Northland",96,114,168
2611,-2,"Rural",1,"Northland",75,81,78
2700,-2,"Rural",1,"Northland",150,129,165
2800,-1,"Rural",1,"Northland",63,63,48
2900,-2,"Rural",1,"Northland",144,105,123
3000,-3,"Rural",1,"Northland",39,51,66
3100,-2,"Rural",1,"Northland",90,72,57
3200,-2,"Rural",1,"Northland",144,138,156
3300,-2,"Rural",1,"Northland",138,210,183
3400,-2,"Rural",1,"Northland",33,36,54
3500,1,"Urban",1,"Northland",117,123,132
3600,-2,"Rural",1,"Northland",123,63,60
3701,-2,"Rural",1,"Northland",54,42,42
3702,-2,"Rural",1,"Northland",69,63,57
3800,-2,"Rural",1,"Northland",192,213,225
3900,-2,"Rural",1,"Northland",261,219,159
4000,-2,"Rural",1,"Northland",162,183,174
4101,1,"Urban",1,"Northland",162,165,162
4102,1,"Urban",1,"Northland",180,144,156
4103,1,"Urban",1,"Northland",225,204,234
4200,1,"Urban",1,"Northland",210,222,318
4301,1,"Urban",1,"Northland",99,99,99
4302,1,"Urban",1,"Northland",153,150,126
4400,-2,"Rural",1,"Northland",120,120,126
4500,-2,"Rural",1,"Northland",3,6,12
4600,-1,"Rural",1,"Northland",15,12,24
4700,-3,"Rural",1,"Northland",9,15,9
4800,-2,"Rural",1,"Northland",48,42,48
4900,1,"Urban",1,"Northland",195,201,195
5000,1,"Urban",1,"Northland",48,78,72
5100,1,"Urban",1,"Northland",174,159,156
5201,-1,"Rural",1,"Northland",54,48,66
